sweetness,body,carbonation,flavor,alcohol,acidity,aroma_intensity,finish,bti_code,is_hard
1.67,2.79,8.12,7.94,5.71,2.36,6.78,4.53,DLFUL,0
6.7,2.62,2.95,2.1,10.0,5.22,6.18,5.29,SLMCH,0
6.63,0.85,7.79,3.85,3.58,4.2,3.65,7.36,SLFCL,1
7.36,7.1,8.05,9.27,5.35,2.72,2.92,4.4,SHFUL,0
5.66,1.02,8.16,4.72,5.73,2.27,6.27,3.67,SLFUL,0
8.17,6.83,7.55,3.58,7.88,3.31,6.9,6.6,SHFCL,1
1.98,1.99,8.95,3.96,8.37,5.82,4.82,3.45,DLFCH,0
6.79,6.36,8.19,1.13,7.61,3.92,4.46,2.96,SHFCL,1
3.33,8.37,8.9,5.96,9.83,6.94,6.53,1.86,DHFUH,1
7.66,7.67,6.47,7.6,9.96,5.14,7.08,1.73,SHFUH,0
1.86,10.0,1.09,1.92,9.2,8.06,3.02,5.64,DHMCH,0
7.36,9.18,6.79,7.18,8.76,6.09,4.13,4.29,SHFUH,0
5.08,5.07,2.41,1.81,9.12,6.26,4.94,3.43,DLMCH,1
2.35,8.11,6.16,8.0,5.05,4.03,6.28,1.7,DHFUL,0
2.06,8.52,7.74,8.94,5.1,4.63,2.32,2.57,DHFUL,0
4.61,0.97,6.07,3.07,10.0,5.28,6.5,2.01,DLFCH,0
2.44,2.32,8.0,8.49,9.59,3.09,5.16,8.92,DLFUH,0
7.68,7.45,8.29,2.3,8.63,5.85,3.79,3.01,SHFCH,0
9.28,7.74,6.07,1.59,8.45,4.8,4.09,3.84,SHFCL,1
9.05,8.38,7.11,7.2,5.83,4.47,4.05,7.81,SHFUL,0
0.9,7.51,1.72,0.55,10.0,4.19,2.54,6.35,DHMCH,0
8.96,2.63,2.76,4.06,4.78,3.59,4.33,5.68,SLMCL,0
3.16,1.77,2.54,7.19,4.05,3.62,7.35,5.58,DLMUL,0
1.71,2.02,7.05,7.45,9.18,3.41,5.13,6.6,DLFUH,0
0.78,1.96,1.87,7.28,8.14,4.86,6.54,7.43,DLMUH,0
6.89,7.95,2.98,0.07,10.0,5.79,6.05,4.78,SHMCH,0
2.53,4.35,7.03,2.94,7.73,5.76,5.83,0.62,DLFCL,1
4.57,6.92,9.06,7.31,5.48,6.1,6.72,3.74,DHFUL,0
7.51,2.51,7.4,1.85,4.11,5.14,3.85,5.13,SLFCL,0
7.26,6.16,8.77,6.65,9.3,3.85,3.75,4.11,SHFUH,1
8.03,5.66,2.55,8.77,10.0,2.53,5.97,5.34,SHMUH,1
7.04,7.83,0.77,8.96,9.81,3.7,4.12,2.45,SHMUH,0
1.37,4.96,3.1,2.24,9.4,2.46,3.35,4.28,DHMCH,0
2.72,3.18,2.57,2.79,5.38,2.81,4.52,4.29,DLMCL,0
6.5,0.76,5.82,2.38,7.92,8.02,5.82,6.09,SLFCL,1
2.76,1.15,7.03,1.7,9.2,4.89,3.48,7.36,DLFCH,0
1.89,9.8,7.41,4.05,4.88,5.39,3.02,4.33,DHFCL,0
7.38,7.15,1.83,0.68,9.67,8.08,5.69,6.03,SHMCH,0
6.96,1.39,7.71,7.7,4.51,4.74,2.03,6.39,SLFUL,0
8.58,6.16,7.4,2.75,9.46,6.85,3.15,4.63,SHFCH,1
1.14,2.89,8.05,2.73,5.58,5.13,5.59,5.46,DLFCL,0
7.9,5.89,2.48,2.86,5.33,5.27,5.44,7.21,SHMCL,0
7.16,5.7,3.96,7.24,8.54,4.89,1.9,4.48,SHMUH,1
6.91,7.17,3.01,2.39,4.76,7.2,4.83,8.45,SHMCL,0
6.51,9.03,1.34,7.93,9.22,4.72,2.86,7.01,SHMUH,0
3.85,3.21,4.82,6.47,5.3,4.73,4.96,6.61,DLFUL,1
1.94,2.86,2.64,3.7,10.0,6.14,7.07,6.15,DLMCH,0
0.86,6.7,8.31,5.89,9.86,5.79,8.02,6.57,DHFUH,0
2.41,1.97,9.71,2.05,4.6,5.65,5.38,2.89,DLFCL,0
7.65,4.22,8.03,6.64,8.64,4.69,6.22,4.67,SLFUH,0
2.9,2.51,5.96,5.18,4.76,4.4,5.11,7.14,DLFUL,1
2.4,3.97,7.53,2.96,8.78,5.21,3.31,2.66,DLFCH,1
7.59,3.58,7.93,6.95,9.61,5.75,4.95,5.62,SLFUH,0
8.4,4.13,1.53,1.61,5.8,4.71,7.11,4.34,SLMCL,0
10.0,8.69,3.54,8.02,8.99,6.49,3.35,3.18,SHMUH,0
6.9,9.0,8.44,6.67,9.41,5.78,4.45,4.5,SHFUH,0
7.67,6.99,5.59,6.07,9.22,4.84,4.17,5.53,SHFUH,0
8.48,7.54,8.28,0.74,5.52,5.27,5.94,5.57,SHFCL,0
6.28,4.54,7.55,4.68,5.3,5.9,4.44,8.18,SLFCL,1
1.9,3.75,3.59,8.22,10.0,4.96,6.49,5.8,DLMUH,1
6.73,5.6,2.21,2.5,9.56,5.61,4.19,3.62,SHMCH,1
1.53,4.64,2.32,6.73,5.86,5.42,5.87,4.79,DLMUL,0
2.67,2.53,8.06,6.31,9.51,7.07,8.12,6.92,DLFUH,0
2.16,2.2,7.86,1.37,9.69,3.0,4.89,3.25,DLFCH,0
6.92,3.77,1.87,1.86,5.32,6.14,5.67,2.47,SLMCL,0
4.3,5.39,3.84,1.35,3.86,4.82,3.5,4.87,DHMCL,1
2.58,1.87,3.06,7.64,4.73,3.42,5.4,3.18,DLMUL,0
8.31,8.51,7.77,1.69,9.62,6.81,5.79,6.12,SHFCH,0
2.34,7.21,0.76,6.44,5.19,4.79,5.11,6.56,DHMUL,0
4.27,2.63,3.48,2.0,4.29,3.55,3.91,8.19,DLMCL,0
8.04,2.32,8.22,5.9,10.0,3.33,6.19,4.59,SLFUH,0
8.62,9.57,2.58,5.37,5.37,3.64,4.0,5.94,SHMUL,0
8.52,7.97,6.18,3.71,6.34,6.5,7.14,5.13,SHFCL,0
2.49,4.09,7.66,2.47,4.6,5.87,5.71,5.02,DLFCL,0
2.98,7.18,6.85,7.55,4.31,5.64,6.7,4.88,DHFUL,0
3.11,0.21,4.5,2.57,5.25,7.42,1.91,4.11,DLMCL,1
7.84,3.97,1.92,1.86,9.47,5.53,4.77,6.57,SLMCH,0
7.06,6.99,8.15,2.33,5.08,6.63,6.29,4.76,SHFCL,0
7.94,3.11,7.07,3.29,5.59,6.94,7.67,3.7,SLFCL,0
0.97,7.26,1.15,7.76,9.53,4.54,6.64,4.15,DHMUH,0
1.94,2.33,4.24,6.33,9.9,6.59,3.92,4.44,DLMUH,0
7.41,0.28,2.28,7.34,4.9,7.12,3.18,3.76,SLMUL,0
8.01,7.25,6.97,6.85,5.2,4.46,4.32,3.0,SHFUL,0
7.98,7.82,8.52,1.95,5.02,4.91,6.06,3.46,SHFCL,0
7.17,7.34,2.21,9.74,3.66,4.42,4.99,3.83,SHMUL,0
5.19,1.69,3.85,2.01,8.63,4.02,5.4,6.9,SLMCH,1
4.47,7.27,4.21,0.11,9.39,3.87,6.38,6.49,DHMCH,1
2.68,8.14,2.95,7.4,5.99,5.47,5.66,6.57,DHMUL,0
3.14,3.39,6.51,8.17,4.68,5.02,7.13,6.21,DLFUL,0
7.94,3.75,3.14,3.24,5.38,5.51,2.32,5.13,SLMCL,0
8.63,1.86,4.1,7.55,9.53,5.15,5.1,1.05,SLMUH,0
3.35,3.23,3.28,7.86,4.96,4.09,2.15,5.51,DLMUL,0
7.76,5.63,4.92,7.36,9.33,4.37,3.54,6.03,SHMUH,1
6.4,7.4,4.3,3.69,4.58,5.34,5.0,5.42,SHMCL,0
1.67,5.72,8.52,3.66,5.63,4.3,4.75,6.12,DHFCL,0
2.74,1.2,2.39,8.02,9.17,3.5,6.55,6.1,DLMUH,1
7.67,2.16,2.36,3.12,3.96,5.25,4.41,7.77,SLMCL,0
9.63,2.94,6.95,3.13,9.82,3.92,5.59,6.03,SLFCH,1
3.96,1.71,5.18,5.76,5.67,7.27,4.45,5.44,SLMUL,1
7.35,2.09,6.2,2.57,9.02,3.47,4.64,6.1,SLFCH,0
1.17,7.97,6.25,7.07,9.52,3.9,5.12,5.1,DHFUH,0
4.02,8.22,8.14,1.27,10.0,3.8,7.61,8.03,DHFCH,0
1.53,2.4,2.6,2.19,10.0,3.92,7.09,3.44,DLMCH,0
1.21,7.16,6.98,7.96,5.61,6.49,3.74,6.5,DHFUL,0
2.54,7.37,6.01,5.33,9.2,4.26,6.45,7.72,DHFCH,0
3.98,7.39,6.71,1.98,5.66,6.01,5.84,4.61,DHFCL,0
9.24,6.17,9.12,6.48,5.0,4.26,4.48,6.2,SHFUL,0
2.24,3.01,2.32,4.18,9.55,4.39,4.31,3.18,DLMCH,0
2.26,6.56,3.49,7.93,4.73,5.22,4.87,3.7,DHMUL,0
2.38,2.3,4.65,2.17,8.69,5.33,5.23,6.04,DLFCH,0
8.02,4.21,3.59,6.9,9.34,5.02,3.84,4.69,SLMUH,1
3.2,5.66,2.83,7.09,9.99,4.93,6.87,5.76,DHMUH,1
7.98,1.98,0.0,3.28,5.16,3.93,3.02,6.25,SLMCL,0
6.2,7.29,2.13,4.02,9.93,6.26,3.49,6.14,SHMCH,1
3.94,1.26,4.9,3.59,9.63,7.14,3.25,4.57,DLMCH,0
7.63,0.0,6.22,4.39,4.67,2.02,6.85,5.02,SLFCL,0
7.69,6.39,4.19,7.64,9.61,3.64,6.35,4.87,SHMUH,1
7.43,7.53,2.15,8.73,4.49,5.47,5.1,2.66,SHMUL,0
7.75,9.07,3.29,7.64,9.71,2.27,5.44,2.68,SHMUH,0
4.09,2.48,2.9,6.75,8.68,4.08,8.28,5.95,DLMUH,0
1.54,7.57,6.64,6.95,5.89,5.16,4.16,3.28,DHFUL,0
7.05,5.63,7.49,5.76,5.28,4.32,6.89,5.89,SHFUL,1
1.68,0.93,0.48,7.57,9.68,3.23,6.57,5.23,DLMUH,0
2.69,7.4,2.56,6.61,9.85,5.63,6.93,4.98,DHMUH,0
7.48,1.92,7.22,6.01,8.61,2.42,6.63,2.66,SLFUH,0
8.2,7.4,2.17,7.39,8.53,5.29,2.95,4.57,SHMUH,0
8.51,7.41,3.29,3.19,9.04,3.63,5.98,4.55,SHMCH,0
6.23,1.42,2.89,9.34,5.24,4.42,6.15,4.64,SLMUL,0
8.58,3.05,3.42,1.72,8.28,4.71,5.72,6.18,SLFCL,1
1.71,7.31,0.81,2.9,8.48,5.22,3.16,3.73,DHMCH,0
9.04,2.81,0.0,9.92,9.61,5.52,6.63,5.7,SLMUH,0
9.01,2.23,2.72,1.99,8.43,6.4,1.74,4.17,SLMCH,0
6.99,7.06,3.61,1.9,9.84,5.47,2.9,5.78,SHMCH,0
3.25,8.37,6.81,0.88,4.68,6.33,4.19,3.96,DHFCL,0
6.47,4.14,3.55,3.22,4.45,5.84,4.67,5.97,SLMCL,1
9.0,8.69,7.1,7.68,4.53,3.51,3.28,4.34,SHFUL,0
0.72,4.88,5.83,2.38,8.8,7.15,3.26,2.52,DLFCH,1
2.5,2.06,8.46,4.0,8.6,2.48,2.41,5.93,DLFCH,1
6.94,1.76,6.82,8.03,10.0,6.23,6.68,4.43,SLFUH,0
1.95,4.53,5.44,1.19,9.47,4.74,5.57,6.86,DLMCH,1
2.27,5.91,1.59,2.73,5.79,9.21,4.12,7.15,DHMCL,0
7.17,7.42,1.99,8.98,5.29,7.06,5.4,5.12,SHMUL,0
3.55,1.85,7.73,2.72,9.9,5.38,3.89,6.32,DLFCH,0
6.31,0.31,7.65,2.82,5.73,7.36,7.35,3.5,SLFCL,0
3.39,8.52,6.48,7.63,9.93,3.66,5.3,5.45,DHFUH,1
7.64,9.38,9.49,1.56,9.84,6.31,6.14,4.47,SHFCH,1
4.38,2.92,8.03,4.26,9.23,4.87,3.12,4.74,DLFCH,0
4.03,2.96,7.12,1.35,10.0,4.96,7.1,6.34,DLFCH,0
6.84,7.16,6.45,7.57,10.0,6.4,7.38,7.59,SHFUH,0
6.81,6.93,1.96,6.52,8.45,4.31,6.31,5.3,SHMUH,0
3.0,8.35,2.87,7.67,9.2,6.22,6.54,4.91,DHMUH,0
6.14,6.66,7.77,2.4,5.34,3.16,5.54,6.64,SHFCL,0
2.22,7.39,2.72,3.12,4.4,3.44,6.66,4.38,DHMCL,0
1.76,7.02,4.96,7.15,5.48,5.22,6.93,4.56,DHMUL,1
3.75,0.47,7.76,6.94,9.84,5.48,5.55,3.41,DLFUH,0
8.46,2.41,7.87,3.58,9.86,4.37,3.58,5.12,SLFCH,1
8.58,9.81,1.55,6.48,4.47,7.41,6.56,4.8,SHMUL,0
3.31,1.51,8.18,8.14,4.52,6.27,4.76,2.89,DLFUL,0
2.87,4.43,7.75,8.4,9.92,5.46,5.28,5.82,DLFUH,0
6.69,7.15,4.8,1.88,4.69,3.47,5.25,4.92,SHFCL,0
1.12,7.7,4.64,1.63,9.26,7.12,5.93,8.72,DHMCH,1
2.48,3.24,8.57,7.96,10.0,4.47,9.23,3.17,DLFUH,0
2.72,3.86,3.34,2.86,5.88,3.22,4.04,3.61,DLMCL,0
2.68,5.43,7.01,7.83,10.0,5.22,6.72,5.93,DHFUH,1
4.26,1.47,6.77,8.07,3.89,6.91,5.94,6.35,DLFUL,0
2.31,2.84,2.06,4.45,9.42,5.9,4.07,6.07,DLMCH,1
2.54,7.45,3.06,7.38,5.11,3.41,6.95,3.29,DHMUL,0
0.68,9.25,8.33,3.27,5.58,5.87,4.63,4.75,DHFCL,0
3.36,4.06,6.62,2.27,5.45,5.09,3.32,5.62,DLFCL,0
2.73,7.04,7.37,8.72,10.0,3.29,3.98,5.71,DHFUH,0
7.42,8.09,5.74,5.9,5.29,2.08,4.33,5.24,SHFUL,0
7.21,2.95,2.19,3.44,3.9,4.5,2.01,2.76,SLMCL,0
1.32,2.95,7.02,7.78,9.04,2.43,4.48,6.08,DLFUH,0
2.9,1.73,6.69,8.49,5.71,7.27,7.71,5.2,DLFUL,0
4.83,2.29,2.2,5.8,4.73,5.16,6.96,2.6,DLMCL,1
3.21,5.39,4.72,1.69,9.96,4.13,6.28,5.09,DHMCH,1
2.87,9.07,6.31,0.73,8.47,6.85,4.67,6.49,DHFCL,1
2.3,6.35,6.11,6.35,9.47,5.16,5.41,4.07,DHFUH,1
6.47,2.91,6.94,2.47,9.86,6.43,5.14,3.78,SLFCH,0
1.31,1.97,9.43,1.08,8.81,6.41,4.35,3.23,DLFCH,0
2.77,2.27,2.26,6.99,10.0,5.37,6.55,7.0,DLMUH,0
7.45,7.32,8.62,5.21,4.16,5.69,1.52,6.67,SHFUL,1
1.14,8.36,1.24,2.89,9.57,5.57,5.71,3.6,DHMCH,0
7.44,3.07,5.76,2.43,9.38,3.74,5.65,4.52,SLFCH,1
8.98,6.96,4.66,0.63,9.32,5.9,4.73,5.86,SHMCL,1
8.56,8.18,1.59,9.23,5.32,4.42,4.0,5.39,SHMUL,0
7.77,6.87,3.92,7.94,4.79,5.34,7.39,4.74,SHMUL,1
6.84,8.06,2.13,7.41,8.63,8.49,5.11,5.75,SHMUH,0
7.3,4.51,8.97,6.99,9.93,4.11,5.0,6.01,SLFUH,0
2.32,7.36,3.24,5.95,7.85,3.3,7.66,6.31,DHMUL,1
1.35,2.8,7.64,2.44,9.76,5.24,0.94,4.51,DLFCH,0
2.77,1.64,2.35,2.35,5.23,6.5,3.41,4.81,DLMCL,0
8.87,3.25,3.93,2.33,9.5,3.75,5.01,5.46,SLMCH,1
2.85,6.45,8.25,6.61,10.0,5.79,3.3,4.21,DHFUH,0
8.51,2.2,2.29,6.52,5.61,3.85,5.52,4.89,SLMUL,0
3.5,7.6,3.3,2.05,4.97,4.83,3.75,5.99,DHMCL,0
1.25,0.9,1.71,2.94,5.31,5.41,2.88,1.53,DLMCL,0
7.52,2.04,7.07,2.83,5.35,3.64,5.05,1.95,SLFCL,0
0.0,7.91,5.62,3.63,10.0,4.29,5.78,4.67,DHFCH,0
1.96,3.28,7.85,6.9,5.35,6.08,3.85,4.26,DLFUL,0
7.04,10.0,2.66,5.2,8.47,6.96,4.47,3.81,SHMUH,1
3.61,2.17,2.08,8.48,4.68,4.94,2.63,6.06,DLMUL,0
6.46,5.63,7.35,6.24,9.49,6.67,7.78,5.14,SHFUH,0
5.44,3.69,4.08,7.93,8.79,4.29,7.33,6.07,SLMUH,1
7.17,5.49,9.43,7.72,10.0,4.82,2.19,6.01,SHFUH,1
2.71,1.38,8.96,3.31,5.06,1.35,3.52,6.03,DLFCL,0
7.82,4.84,3.16,5.98,8.06,2.57,8.67,2.61,SLMUL,1
3.78,6.42,1.58,6.34,5.15,5.1,4.3,3.48,DHMUL,0
1.96,2.63,3.23,8.69,9.42,2.53,2.42,4.51,DLMUH,0
4.76,7.2,3.97,6.34,8.38,3.99,4.47,2.84,SHMUH,1
1.32,7.81,1.3,4.36,4.37,4.29,4.09,7.28,DHMUL,0
3.92,3.9,7.56,1.0,10.0,5.58,4.51,6.43,DLFCH,0
2.84,5.12,2.83,7.54,5.03,5.37,4.96,4.92,DHMUL,0
2.1,8.72,6.53,3.19,9.56,3.05,4.04,4.68,DHMCH,0
6.88,1.47,0.94,7.72,5.14,7.55,4.0,5.44,SLMUL,0
2.31,7.32,2.27,1.38,10.0,4.67,5.9,4.5,DHMCH,0
6.36,1.48,2.41,8.0,5.64,5.91,5.11,3.88,SLMUL,0
8.7,3.09,7.45,8.61,6.52,5.48,5.18,5.26,SLFUL,0
6.3,7.86,1.41,8.7,8.26,2.41,4.92,5.42,SHMUL,1
8.31,4.49,5.3,7.04,10.0,4.09,5.68,5.29,SHFUH,1
3.83,0.57,7.75,8.19,7.28,4.02,3.74,5.03,DLFUL,1
8.03,7.13,8.28,7.98,9.29,6.53,5.31,5.25,SHFUH,0
3.65,8.09,3.65,4.06,9.04,7.25,2.8,6.12,DHMCH,0
7.75,2.32,2.25,2.34,5.12,3.49,6.06,5.99,SLMCL,0
2.49,7.23,6.43,2.06,8.71,3.73,5.13,4.82,DHFCH,0
0.52,2.24,7.56,1.21,4.98,5.08,1.77,3.63,DLFCL,0
8.53,2.48,1.68,5.78,4.74,6.13,8.41,5.09,SLMUL,0
4.14,7.13,8.9,3.45,5.3,5.22,5.59,3.71,DHFCL,1
1.79,1.72,8.7,8.38,5.36,6.39,2.03,7.03,DLFUL,0
6.79,1.77,1.85,8.23,4.4,5.54,6.12,4.87,SLMUL,0
0.0,5.2,1.35,8.7,9.04,4.16,4.93,4.11,DHMUH,1
5.58,6.37,8.46,0.39,4.54,4.4,7.62,6.15,SHFCL,0
1.5,10.0,3.09,6.39,4.97,5.1,6.27,7.76,DHMUL,0
9.44,1.81,0.14,8.53,10.0,7.49,6.56,6.8,SLMUH,0
7.02,8.66,2.11,3.13,9.61,6.12,5.16,2.5,SHMCH,0
6.41,7.46,5.92,5.53,4.98,6.3,5.68,8.34,SHFUL,1
6.19,2.92,2.89,2.33,8.69,5.94,6.88,4.22,SLMCL,1
4.23,1.92,5.66,3.0,9.3,4.8,5.83,4.32,DLFCH,0
7.52,7.0,2.58,2.71,9.08,4.74,5.46,6.28,SHMCH,1
7.75,2.6,7.32,1.42,9.75,5.71,5.3,5.17,SLFCH,0
6.08,3.79,7.65,3.7,9.25,4.95,5.31,3.62,SLFCH,1
8.12,2.38,3.29,8.76,10.0,4.95,3.75,3.71,SLMUH,0
2.57,3.68,3.63,2.08,9.83,5.63,4.19,5.92,DLMCH,0
2.64,1.02,2.04,8.78,9.81,4.76,5.17,5.87,DLMUH,0
3.13,2.96,3.17,5.25,8.63,5.15,3.5,6.68,DLMUH,1
7.14,2.45,7.44,8.28,5.93,5.55,7.96,6.35,SLFUL,0
1.5,2.11,6.16,7.88,5.44,4.18,4.34,5.81,DLFUL,0
7.7,0.82,5.86,1.38,9.71,5.0,6.57,3.62,SLFCH,0
2.18,6.63,2.83,7.2,9.34,4.86,5.83,4.15,DHMUH,0
1.01,3.25,7.92,2.22,9.44,6.14,3.3,5.31,DLFCH,0
9.51,6.54,3.25,0.81,4.44,7.27,4.61,6.26,SHMCL,0
10.0,2.12,7.04,3.27,5.49,4.2,4.4,5.81,SLFCL,0
4.66,7.97,8.21,0.89,4.51,6.86,5.43,2.13,DHFCL,0
7.2,1.06,7.58,7.76,9.34,5.36,5.63,5.39,SLFUH,0
7.02,9.12,8.28,4.49,5.45,4.0,4.77,3.76,SHFCL,1
3.43,3.85,2.59,1.66,4.64,2.78,3.67,4.46,DLMCL,1
2.2,6.95,3.2,5.68,9.59,4.55,2.94,5.09,DHMUH,1
3.98,1.76,1.68,2.7,5.51,5.02,6.99,6.29,DLMCL,0
2.7,1.7,1.95,7.45,5.81,7.7,5.67,4.44,DLMUL,0
3.07,6.86,7.24,3.47,5.52,3.53,3.72,5.16,DHFCL,0
5.06,5.82,2.18,7.3,6.22,2.36,4.65,6.82,SHMUL,1
4.47,3.5,8.36,2.02,9.33,6.82,4.48,3.96,DLFCH,1
8.1,2.7,2.73,7.42,5.38,5.05,3.73,3.43,SLMUL,0
3.54,6.96,8.91,2.41,5.12,6.77,3.65,3.51,DHFCL,0
8.84,1.82,8.78,3.24,9.39,4.61,5.27,6.32,SLFCH,0
6.66,8.98,8.41,8.04,10.0,2.13,6.19,6.6,SHFUH,0
2.38,9.09,2.48,7.58,9.79,4.85,3.77,5.57,DHMUH,0
5.8,0.93,6.29,2.68,10.0,2.32,4.18,2.95,SLFCH,0
1.87,3.32,5.25,7.44,6.21,5.07,3.61,6.84,DLMUL,1
7.33,4.17,1.4,3.09,5.19,3.7,5.27,6.82,SLMCL,0
7.91,7.03,4.87,0.76,5.12,3.31,4.26,5.21,SHMCL,0
7.43,7.44,7.05,1.73,10.0,1.84,4.69,4.3,SHFCH,0
4.93,6.68,2.8,6.75,6.07,6.33,3.98,5.77,DHMUL,0
7.93,8.58,2.16,8.28,5.03,3.66,4.61,4.55,SHMUL,0
1.07,9.34,7.31,1.09,8.85,2.52,5.98,3.44,DHFCH,1
7.5,8.7,7.47,6.71,8.21,6.43,3.9,3.28,SHFUH,0
4.17,2.54,4.34,2.21,10.0,3.59,5.63,1.49,DLMCH,0
2.42,7.02,1.94,7.86,4.46,1.62,5.61,5.78,DHMUL,0
7.95,3.16,5.72,8.63,5.46,6.7,5.88,5.98,SLFUL,0
3.15,3.24,3.04,1.83,5.14,5.18,5.33,6.31,DLMCL,0
1.35,3.69,7.44,6.56,10.0,2.68,4.17,4.14,DLFUH,0
2.1,2.11,2.65,1.84,10.0,5.73,3.79,5.14,DLMCH,0
7.93,3.55,6.83,3.42,10.0,7.27,2.5,3.64,SLFCH,0
7.31,1.14,4.13,9.09,10.0,4.64,3.49,4.01,SLMUH,0
1.82,2.6,8.51,9.79,4.1,5.47,3.37,6.53,DLFUL,0
7.39,6.59,7.33,8.01,4.29,2.53,7.99,4.04,SHFUL,0
4.09,6.88,4.56,2.27,4.23,5.1,3.39,3.87,DHMCL,0
2.81,5.96,7.72,6.74,10.0,5.82,5.62,2.59,DHFUH,0
6.63,1.63,4.18,3.11,8.58,5.72,5.61,4.52,SLFCL,1
8.42,3.17,2.85,8.14,9.91,7.24,4.95,5.25,SLMUH,0
6.19,2.35,6.31,1.8,4.54,4.34,6.98,5.99,SLFCL,0
8.01,2.89,2.41,2.38,5.6,6.59,6.54,5.06,SLMCL,1
6.61,2.43,4.53,2.55,7.74,6.35,6.11,4.76,SLMCL,1
4.45,3.75,1.65,7.66,9.67,7.07,5.48,4.06,DLMUH,1
9.47,2.34,3.84,4.2,8.89,4.27,3.45,3.16,SLMCH,0
8.48,7.81,3.99,3.31,9.32,5.31,3.87,2.83,SHMCH,1
9.52,8.37,4.04,5.96,8.65,4.52,5.06,4.7,SHMUH,0
8.29,2.45,7.01,2.19,6.21,2.4,5.75,2.48,SLFCL,0
3.05,6.65,4.03,6.14,9.66,5.73,3.68,6.05,DHMUH,0
8.63,8.76,1.08,3.89,9.01,5.76,5.29,4.67,SHMCL,1
7.04,5.85,6.43,7.75,8.23,4.19,4.92,5.2,SHFUL,1
8.21,9.69,3.58,2.47,8.82,2.96,4.38,3.97,SHMCH,0
5.67,3.35,1.08,1.31,4.78,4.62,2.74,3.52,DHMCL,1
2.25,5.78,2.94,3.44,8.0,4.87,5.62,5.34,DLMCH,1
8.15,8.63,4.36,6.77,9.02,6.0,4.99,5.33,SHMUH,0
1.16,4.85,4.55,7.58,8.16,5.46,8.05,3.46,DLMUL,1
6.82,5.98,7.33,7.01,9.28,3.81,4.73,6.67,SHFUH,1
7.7,8.1,4.21,3.06,9.16,6.66,4.05,5.25,SHMCH,0
7.45,4.9,6.36,3.54,9.17,1.38,7.65,3.8,SHFCH,1
3.92,3.44,0.95,7.2,5.66,5.83,3.04,5.92,DLMUL,0
1.55,8.58,1.35,8.15,9.92,4.23,3.17,2.04,DHMUH,0
6.26,8.17,7.65,10.0,5.87,6.07,5.37,5.25,SHFUL,0
0.79,3.13,5.3,7.13,4.0,6.35,3.91,6.95,DLMUL,0
1.63,6.52,8.53,5.99,5.64,4.75,4.86,2.44,DHFUL,0
1.21,3.25,3.05,7.78,9.97,4.51,3.61,6.38,DLMUH,1
4.15,0.0,7.56,8.43,9.39,4.31,4.6,5.83,DLFUH,0
2.19,8.14,1.77,7.82,8.06,5.75,5.18,0.39,DHMUL,1
8.64,7.51,6.58,7.04,10.0,6.0,6.57,3.44,SHFUH,0
2.05,1.83,0.86,7.58,9.6,6.18,6.37,4.7,DLMUH,0
7.26,2.48,5.92,6.34,4.33,6.15,5.37,5.92,SLFUL,0
8.37,7.69,8.65,2.46,4.16,6.45,4.44,5.51,SHFCL,0
3.01,6.84,1.57,6.19,10.0,4.46,1.7,4.07,DHMUH,1
2.71,6.95,7.34,3.85,5.88,3.77,4.94,5.14,DHFCL,0
2.15,7.04,0.95,2.34,9.26,6.76,3.2,4.13,DHMCH,0
7.04,3.22,1.53,1.31,10.0,3.56,6.72,5.18,SLMCH,0
7.24,7.16,8.54,3.76,10.0,4.75,1.79,4.78,SHFCH,0
7.34,8.8,7.48,9.1,9.23,1.45,4.88,7.56,SHFUH,0
7.1,3.95,2.88,6.66,4.59,4.16,5.54,7.01,SLMUL,0
4.01,3.14,1.8,1.49,5.02,3.18,3.99,5.47,DLMCL,0
0.25,6.3,3.82,2.46,5.77,5.62,6.17,3.65,DHMCL,0
1.17,3.07,3.53,2.31,9.42,5.63,5.52,5.87,DLMCH,0
3.59,1.57,6.98,7.01,9.99,5.22,5.14,5.8,DLFUH,0
2.5,8.03,5.8,1.72,9.19,3.33,5.79,5.02,DHFCH,1
8.04,9.47,7.31,5.53,4.86,5.38,4.4,5.56,SHFCL,0
5.72,7.82,1.74,3.08,5.03,6.14,6.76,5.29,SHMCL,0
2.17,7.96,2.42,5.84,8.86,6.59,5.13,2.48,DHMUH,0
6.6,3.37,1.83,5.32,7.72,5.51,6.74,4.72,SLMUL,1
2.44,2.29,2.17,7.24,5.51,5.35,5.35,3.31,DLMUL,0
7.35,2.5,2.72,8.61,9.66,2.9,4.16,5.25,SLMUH,0
7.33,2.7,2.98,7.04,8.55,5.89,3.91,5.24,SLMUL,1
7.3,8.09,7.82,6.44,10.0,6.42,3.65,6.84,SHFUH,0
2.57,2.05,2.01,9.04,4.6,4.29,2.62,3.86,DLMUL,0
0.3,5.99,2.37,7.03,4.21,7.92,5.47,5.71,DHMUL,0
5.39,2.13,2.44,5.93,9.18,5.35,5.33,6.74,SLMUH,1
1.23,7.45,2.03,6.81,5.93,4.88,6.91,4.2,DHMUL,0
0.5,6.93,4.58,6.64,8.82,3.5,6.82,4.64,DHMUH,1
3.14,7.27,8.45,4.12,9.2,5.3,2.96,5.35,DHFCH,1
6.45,1.89,3.88,7.7,4.39,5.46,4.78,10.0,SLMUL,0
